1991.01	0.13
1991.02	-0.02
1991.03	0.06
1991.04	0.36
1991.05	0.46
1991.06	0.38
1991.07	0.37
1991.08	0.17
1991.09	0.21
1991.1	0.13
1991.11	0.16
1991.12	0.15
1992.01	-0.26
1992.02	-0.31
1992.03	-0.57
1992.04	-0.48
1992.05	-0.47
1992.06	-0.75
1992.07	-0.38
1992.08	-0.66
1992.09	-0.73
1992.1	-0.47
1992.11	-0.28
1992.12	-0.25
1993.01	0
1993.02	0
1993.03	0
1993.04	0
1993.05	0
1993.06	
1993.07	
1993.08	
1993.09	
1993.1	
1993.11	
1993.12	
1994.01	0
1994.02	0
1994.03	0
1994.04	0
1994.05	0
1994.06	
1994.07	
1994.08	
1994.09	
1994.1	
1994.11	
1994.12	
1995.01	0
1995.02	0
1995.03	0
1995.04	0
1995.05	0
1995.06	
1995.07	
1995.08	
1995.09	
1995.1	
1995.11	
1995.12	
1996.01	0
1996.02	0
1996.03	0
1996.04	0
1996.05	0
1996.06	
1996.07	
1996.08	
1996.09	
1996.1	
1996.11	
1996.12	
1997.01	0
1997.02	0
1997.03	0
1997.04	0
1997.05	0
1997.06	
1997.07	
1997.08	
1997.09	
1997.1	
1997.11	
1997.12	
1998.01	0
1998.02	0
1998.03	0
1998.04	0
1998.05	0
1998.06	
1998.07	
1998.08	
1998.09	
1998.1	
1998.11	
1998.12	
1999.01	0
1999.02	0
1999.03	0
1999.04	0
1999.05	0
1999.06	
1999.07	
1999.08	
1999.09	
1999.1	
1999.11	
1999.12	
2000.01	0
2000.02	0
2000.03	0
2000.04	0
2000.05	0
2000.06	
2000.07	
2000.08	
2000.09	
2000.1	
2000.11	
2000.12	
2001.01	0
2001.02	0
2002.01	0
2002.02	0
2002.03	0
2002.04	
2002.05	
2002.06	
2002.07	
2002.08	
2002.09	
2002.1	
2002.11	0.13
2002.12	-0.02
2003.01	0.06
2003.02	0.36
2003.03	0.46
2003.04	0.38
2003.05	0.37
2003.06	0.17
2003.07	0.21
2003.08	0.13
2003.09	0.16
2003.1	0.15
2003.11	-0.26
2003.12	-0.31
2004.01	-0.57
2004.02	-0.48
2004.03	-0.47
2004.04	-0.75
2004.05	-0.38
2004.06	-0.66
2004.07	-0.73
2004.08	-0.47
2004.09	-0.28
2004.1	-0.25
2004.11	0.13
2004.12	-0.02
2005.01	0.06
2005.02	0.36
2005.03	0.46
2005.04	0.38
2005.05	0.37
2005.06	0.17
2005.07	0.21
2005.08	0.13
2005.09	0.16
2005.1	0.15
2005.11	-0.26
2005.12	-0.31
2006.01	-0.57
2006.02	-0.48
2006.03	-0.47
2006.04	-0.75
2006.05	-0.38
2006.06	-0.66
2006.07	-0.73
2006.08	-0.47
2006.09	-0.28
2006.1	-0.25
2006.11	0.13
2006.12	-0.02
2007.01	0.06
2007.02	0.36
2007.03	0.46
2007.04	0.38
2007.05	0.37
2007.06	0.17
2007.07	0.21
2007.08	0.13
2007.09	0.16
2007.1	0.15
2007.11	-0.26
2007.12	-0.31
2008.01	-0.57
2008.02	-0.48
2008.03	-0.47
2008.04	-0.75
2008.05	-0.38
2008.06	-0.66
2008.07	-0.73
2008.08	-0.47
2008.09	-0.28
2008.1	-0.25
2008.11	0.13
2008.12	-0.02
2009.01	0.06
2009.02	0.36
2009.03	0.46
2009.04	0.38
2009.05	0.37
2009.06	0.17
2009.07	0.21
2009.08	0.13
2009.09	0.16
2009.1	0.15
2009.11	-0.26
2009.12	-0.31
2010.01	-0.57
2010.02	-0.48
2010.03	-0.47
2010.04	-0.75
2010.05	-0.38
2010.06	-0.66
2010.07	-0.73
2010.08	-0.47
2010.09	-0.28
2010.1	-0.25
2010.11	0.13
2010.12	-0.02
2011.01	0.06
2011.02	0.36
2011.03	0.46
2011.04	0.38
2011.05	0.37
2011.06	0.17
2011.07	0.21
2011.08	0.13
2011.09	0.16
2011.1	0.15
2011.11	-0.26
2011.12	-0.31
2012.01	-0.57
2012.02	-0.48
2012.03	-0.47
2012.04	-0.75
2012.05	-0.38
2012.06	-0.66
2012.07	-0.73
2012.08	-0.47
2012.09	-0.28
2012.1	-0.25
2012.11	0.13
2012.12	-0.02
2013.01	0.06
2013.02	0.36
2013.03	0.46
2013.04	0.38
2013.05	0.37
2013.06	0.17
2013.07	0.21
2013.08	0.13
2013.09	0.16
2013.1	0.15
2013.11	-0.26
2013.12	-0.31
2014.01	-0.57
2015.01	-0.48
2015.02	-0.47
2015.03	-0.75
2015.04	-0.38
2015.05	-0.66
2015.06	-0.73
2015.07	-0.47
2015.08	-0.28
2015.09	-0.25
2015.1	0.13
2015.11	-0.02
2015.12	0.06
2016.01	0.36
2016.02	0.46
2016.03	0.38
2016.04	0.37
2016.05	0.17
2016.06	0.21
2016.07	0.13
2016.08	0.16
2016.09	0.15
2016.1	-0.26
2016.11	-0.31
2016.12	-0.57
2017.01	-0.48
2017.02	-0.47
2017.03	-0.75
2017.04	-0.38
2017.05	-0.66
2017.06	-0.73
2017.07	-0.47
2017.08	-0.28
2017.09	-0.25
2017.1	0.13
2017.11	-0.02
2017.12	0.06
2018.01	0.36
2018.02	0.46
2018.03	0.38
2018.04	0.37
2018.05	0.17
2018.06	0.21
2018.07	0.13
2018.08	0.16
2018.09	0.15
2018.1	-0.26
2018.11	-0.31
2018.12	-0.57
2019.01	-0.48
2019.02	-0.47
2019.03	-0.75
2019.04	-0.38
2019.05	-0.66
2019.06	-0.73
2019.07	-0.47
2019.08	-0.28
2019.09	-0.25
2019.1	0.13
2019.11	-0.02
2019.12	0.06
2020.01	0.36
2020.02	0.46
2020.03	0.38
2020.04	0.37
2020.05	0.17
2020.06	0.21
2020.07	0.13
2020.08	0.16
2020.09	0.15
2020.1	-0.26
2020.11	-0.31
2020.12	-0.57
2021.01	-0.48
2021.02	-0.47
2021.03	-0.75
2021.04	-0.38
2021.05	-0.66
2021.06	-0.73
2021.07	-0.47
2021.08	-0.28
2021.09	-0.25
2021.1	-0.47
2021.11	-0.28
2021.12	-0.25
